Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km],
RENAULT,"Laguna Sport Tourer, Model Year 2010","2.0 16V 140 16"" Wheel",M6,1997,Petrol,10.6,6.3,7.7,26.6,44.8,36.7,182,1977,4,71.0,0.440,0.083,0.043,,,
RENAULT,"Laguna Sport Tourer, Model Year 2010","2.0 16V 140 17"" Wheel",M6,1997,Petrol,10.7,6.5,8.0,26.4,43.5,35.3,189,2055,4,71.0,0.440,0.083,0.043,,,
RENAULT,"Laguna Sport Tourer, Model Year 2010","1.5 dCi 110 16"" Wheel",M6,1461,Diesel,6.2,4.6,5.0,45.6,61.4,56.5,133,1342,4,71.6,0.406,,0.216,0.251,0.022,
RENAULT,"Laguna Sport Tourer, Model Year 2010","1.5 dCi 110 17"" Wheel",M6,1461,Diesel,6.2,4.8,5.3,45.6,58.5,53.3,136,1423,4,71.6,0.406,,0.216,0.251,0.022,
RENAULT,"Laguna Sport Tourer, Model Year 2010",2.0 dCi 130,M6,1995,Diesel,7.8,5.0,6.0,36.2,56.5,47.1,159,1610,4,73.2,0.342,,0.215,0.244,0.024,
RENAULT,"Laguna Sport Tourer, Model Year 2010",2.0 dCi 150,M6,1995,Diesel,7.8,5.0,6.0,36.2,56.5,47.1,159,1610,4,73.2,0.342,,0.215,0.244,0.024,
RENAULT,"Laguna Sport Tourer, Model Year 2010","2.0 dCi 150 FAP 16"" Wheel",M6,1995,Diesel,7.2,4.5,5.3,39.2,62.8,53.3,140,1423,4,70.8,0.375,,0.228,0.261,0.002,
RENAULT,"Laguna Sport Tourer, Model Year 2010","2.0 dCi 150 FAP 17/18"" Wheel",M6,1995,Diesel,7.2,4.5,5.4,39.2,62.8,52.3,144,1450,4,70.8,0.375,,0.228,0.261,0.002,
RENAULT,Laguna Coupé,2.0 205T 2WS DTEG06,M6,1998,Petrol,11.5,6.5,8.2,24.6,43.5,34.4,194,2109,4,70.5,0.736,0.092,0.038,,,
RENAULT,Laguna Coupé,2.0 dCi 150 2WS FAP DTE90E,M6,1995,Diesel,9.6,5.6,7.0,29.4,50.4,40.4,185,1877,4,72.0,0.158,,0.173,0.197,0.003,
RENAULT,Laguna Coupé GT,2.0 205T 4WS DTBG06 ,M6,1998,Petrol,11.5,6.5,8.2,24.6,43.5,34.4,194,2109,4,70.5,0.736,0.092,0.038,,,
RENAULT,Laguna Coupé GT,3.5 V6 240 4WS DTBP06,A6,3495,Petrol,15.0,7.4,10.0,18.8,38.2,28.2,238,2573,4,70.2,0.397,0.051,0.058,,,
RENAULT,Laguna Coupé GT,2.0 dCi 180 FAP 4WS DTDE06,M6,1995,Diesel,8.6,5.5,6.5,32.8,51.4,43.4,172,1747,4,71.2,0.164,,0.137,0.155,0.001,
RENAULT,Laguna Coupé GT,3.0 V6 dCi 235 4WS FAP DTB30E,A6,2993,Diesel,10.6,5.7,7.2,26.6,49.6,39.2,192,1934,4,68.4,0.303,,0.167,0.216,0.010,
RENAULT,"Scénic, Model Year May 2009 on",1.6 VVT 110,M6,1598,Petrol,9.9,5.9,7.4,28.5,47.9,38.2,174,1899,4,73.5,0.413,0.054,0.023,,,
RENAULT,"Scénic, Model Year May 2009 on",dCi 86,M6,1461,Diesel,5.6,4.6,4.9,50.4,61.4,57.6,130,1316,4,72.2,0.103,,0.225,0.241,0.021,
RENAULT,"Scénic, Model Year May 2009 on",dCi 106,M6,1461,Diesel,5.7,4.5,4.9,49.6,62.8,57.6,130,1316,4,72.3,0.319,,0.197,0.225,0.012,
RENAULT,"Scénic, Model Year May 2009 on","dCi 106 16"" wheels",M6,1461,Diesel,5.9,4.6,5.1,47.9,61.4,55.4,134,1369,4,72.3,0.277,,0.212,0.235,0.014,
RENAULT,"Scénic, Model Year May 2009 on",dCi 130 FAP,M6,1870,Diesel,6.7,5.0,5.6,42.2,56.5,50.4,149,1505,4,71.0,0.178,,0.138,0.162,0.000,
RENAULT,"Grand Scénic, Model Year May 2009 on",1.6 VVT 111,M6,1598,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,177,1925,4,73.7,0.456,0.065,0.030,,,
